seed,arm,result,avg_acc_last10,wga_last10,best_group_last10
1,crp,outputs/next_actions_after_transfer_2026-09-07/graph_ablation/seed1/crp/training/waterbirds_s1_crp-v2-relational_e500_03e011704e/probe_features_epoch_500_ds_train_val.json,55.79649806022644,51.6059935092926,66.16541147232056
1,semantic_splice,outputs/next_actions_after_transfer_2026-09-07/graph_ablation/seed1/semantic_splice/training/waterbirds_s1_crp-v2-relational_e500_084ea2f3a5/probe_features_epoch_500_ds_train_val.json,54.0450394153595,44.36090290546417,63.15789222717285
3,crp,outputs/next_actions_after_transfer_2026-09-07/graph_ablation/seed3/crp/training/waterbirds_s3_crp-v2-relational_e500_976f887f83/probe_features_epoch_500_ds_train_val.json,49.207672476768494,45.493561029434204,62.406015396118164
3,semantic_splice,outputs/next_actions_after_transfer_2026-09-07/graph_ablation/seed3/semantic_splice/training/waterbirds_s3_crp-v2-relational_e500_b1d2a200ff/probe_features_epoch_500_ds_train_val.json,49.79149401187897,43.89721751213074,65.41353464126587
