seed,arm,ssl_epoch,avg_acc_last10,wga_last10,best_group_last10,probe_epochs,result
1,splice_crp_kl,500,51.20934247970581,45.396146178245544,68.42105388641357,13,/home/xar68reb/Spur_SpLiCE/outputs/crp_signal_checks_v1/transfer/lambda_0.2/seed1/splice_crp_kl/training/waterbirds_s1_crp-v2-relational_e500_603ac2bc50/probe_features_epoch_500_ds_train_val.json
1,raw_clip_kl,500,53.71142625808716,49.46466684341431,57.29613900184631,14,/home/xar68reb/Spur_SpLiCE/outputs/crp_signal_checks_v1/transfer/lambda_0.2/seed1/raw_clip_kl/training/waterbirds_s1_crp-v2-relational_e500_a2a1bd468f/probe_features_epoch_500_ds_train_val.json
2,splice_crp_kl,500,49.37447905540466,43.89721751213074,66.16541147232056,14,/home/xar68reb/Spur_SpLiCE/outputs/crp_signal_checks_v1/transfer/lambda_0.2/seed2/splice_crp_kl/training/waterbirds_s2_crp-v2-relational_e500_8b1c1f8a3d/probe_features_epoch_500_ds_train_val.json
2,raw_clip_kl,500,49.9582976102829,47.36842215061188,63.90977501869202,13,/home/xar68reb/Spur_SpLiCE/outputs/crp_signal_checks_v1/transfer/lambda_0.2/seed2/raw_clip_kl/training/waterbirds_s2_crp-v2-relational_e500_8da9d1ea20/probe_features_epoch_500_ds_train_val.json
