seed,arm,design,subset_seed,l2,train_count,feature_dim,avg,wga,train_avg,converged,gradient_max,group_0_accuracy,group_0_count,group_1_accuracy,group_1_count,group_2_accuracy,group_2_count,group_3_accuracy,group_3_count
1,simclr,original_ds_train,0,0.0001,224,512,50.959134101867676,44.967880845069885,100.0,True,9.70279925867719e-08,44.96788024902344,467,50.214595794677734,466,57.142860412597656,133,68.42105102539062,133
1,simclr,original_ds_train,0,0.001,224,512,50.291907787323,44.539615511894226,100.0,True,9.222924753256312e-08,44.539615631103516,467,50.0,466,54.8872184753418,133,66.91729736328125,133
1,simclr,original_ds_train,0,0.01,224,512,50.79232454299927,44.539615511894226,100.0,True,8.180975696056927e-08,44.539615631103516,467,50.858367919921875,466,56.39097595214844,133,66.91729736328125,133
1,simclr,original_ds_train,0,0.1,224,512,50.458717346191406,46.25267684459686,96.875,True,5.998426870316986e-08,46.25267791748047,467,49.78540802001953,466,55.63909912109375,133,62.40601348876953,133
1,simclr,balanced_14_per_group,101,0.0001,56,512,47.206005454063416,30.257511138916016,100.0,True,9.292290402229355e-08,58.02997970581055,467,30.257511138916016,466,42.85714340209961,133,72.93233489990234,133
1,simclr,balanced_14_per_group,101,0.001,56,512,47.28940725326538,30.257511138916016,100.0,True,9.310758746663267e-08,58.244110107421875,467,30.257511138916016,466,42.85714340209961,133,72.93233489990234,133
1,simclr,balanced_14_per_group,101,0.01,56,512,47.12260365486145,29.828324913978577,100.0,True,9.214907679966355e-08,58.244110107421875,467,29.828325271606445,466,42.85714340209961,133,72.93233489990234,133
1,simclr,balanced_14_per_group,101,0.1,56,512,48.12343716621399,31.759655475616455,100.0,True,3.95278453302339e-08,58.45824432373047,467,31.759654998779297,466,44.360904693603516,133,72.93233489990234,133
1,simclr,balanced_14_per_group,102,0.0001,56,512,47.12260365486145,34.47537422180176,100.0,True,6.853032736860657e-08,34.475372314453125,467,56.65236282348633,466,51.12782287597656,133,54.13534164428711,133
1,simclr,balanced_14_per_group,102,0.001,56,512,46.705588698387146,34.47537422180176,100.0,True,8.062310041288628e-08,34.475372314453125,467,55.57939910888672,466,51.12782287597656,133,54.13534164428711,133
1,simclr,balanced_14_per_group,102,0.01,56,512,46.95579707622528,34.26124155521393,100.0,True,8.995311446169559e-08,34.2612419128418,467,55.57939910888672,466,52.6315803527832,133,55.63909912109375,133
1,simclr,balanced_14_per_group,102,0.1,56,512,46.87239229679108,34.68950688838959,100.0,True,9.497907652814691e-08,34.68950653076172,467,54.506439208984375,466,52.6315803527832,133,57.142860412597656,133
1,simclr,balanced_14_per_group,103,0.0001,56,512,50.133444666862495,37.575106620788574,100.0,True,9.482163452470541e-08,57.81584548950195,467,37.553646087646484,466,45.864662170410156,133,71.42857360839844,133
1,simclr,balanced_14_per_group,103,0.001,56,512,50.12510418891907,37.12446391582489,100.0,True,9.839283807860661e-08,57.81584548950195,467,37.12446212768555,466,47.36842346191406,133,71.42857360839844,133
1,simclr,balanced_14_per_group,103,0.01,56,512,50.70892572402954,37.55364716053009,100.0,True,8.854348330885654e-08,58.45824432373047,467,37.553646087646484,466,47.36842346191406,133,72.93233489990234,133
1,simclr,balanced_14_per_group,103,0.1,56,512,51.0425329208374,37.55364716053009,100.0,True,8.2965091208545e-08,58.88650894165039,467,37.553646087646484,466,48.12030029296875,133,73.68421173095703,133
1,simclr,balanced_28_per_group,101,0.0001,112,512,45.2877402305603,36.402568221092224,100.0,True,9.77024730319504e-08,36.40256881713867,467,42.27467727661133,466,63.15789031982422,133,69.17292785644531,133
1,simclr,balanced_28_per_group,101,0.001,112,512,45.45454680919647,37.25910186767578,100.0,True,7.225307563428311e-08,37.25910186767578,467,42.27467727661133,466,61.65413284301758,133,69.17292785644531,133
1,simclr,balanced_28_per_group,101,0.01,112,512,45.78815698623657,38.54389786720276,100.0,True,8.644630643999188e-08,38.54389953613281,467,42.06008529663086,466,60.15037155151367,133,69.92481231689453,133
1,simclr,balanced_28_per_group,101,0.1,112,512,47.78982400894165,42.61241853237152,100.0,True,9.160223182844845e-08,42.61241912841797,467,44.42060089111328,466,55.63909912109375,133,69.92481231689453,133
1,simclr,balanced_28_per_group,102,0.0001,112,512,51.29274129867554,41.113489866256714,100.0,True,9.060984321277748e-08,41.11349105834961,467,58.36909866333008,466,57.142860412597656,133,56.39097595214844,133
1,simclr,balanced_28_per_group,102,0.001,112,512,51.20934247970581,41.32762253284454,100.0,True,9.570043857925014e-08,41.32762145996094,467,57.72532272338867,466,57.142860412597656,133,57.142860412597656,133
1,simclr,balanced_28_per_group,102,0.01,112,512,50.959134101867676,41.32762253284454,100.0,True,6.570979297379313e-08,41.32762145996094,467,55.79398727416992,466,57.894737243652344,133,60.90225601196289,133
1,simclr,balanced_28_per_group,102,0.1,112,512,50.12510418891907,40.685224533081055,100.0,True,9.146672173658554e-08,40.68522644042969,467,54.506439208984375,466,57.142860412597656,133,60.90225601196289,133
1,simclr,balanced_28_per_group,103,0.0001,112,512,55.80483853816987,54.95708167552949,100.0,True,7.229976059012797e-08,55.67451858520508,467,54.93562316894531,466,56.39097595214844,133,58.6466178894043,133
1,simclr,balanced_28_per_group,103,0.001,112,512,54.954127669334405,53.86266112327576,100.0,True,8.661642072338308e-08,54.60385513305664,467,53.8626594543457,466,56.39097595214844,133,58.6466178894043,133
1,simclr,balanced_28_per_group,103,0.01,112,512,55.12927174568176,54.077255725860596,100.0,True,8.469148483848579e-08,54.60385513305664,467,54.07725524902344,466,56.39097595214844,133,59.398494720458984,133
1,simclr,balanced_28_per_group,103,0.1,112,512,55.21267652511597,53.747326135635376,100.0,True,7.04184637679954e-08,53.7473258972168,467,54.506439208984375,466,57.142860412597656,133,60.90225601196289,133
1,crp_sampler_only,original_ds_train,0,0.0001,224,512,49.79149401187897,42.39828586578369,100.0,True,9.233726998468251e-08,42.398284912109375,467,50.42918395996094,466,57.894737243652344,133,65.41353607177734,133
1,crp_sampler_only,original_ds_train,0,0.001,224,512,49.87489581108093,43.25481653213501,100.0,True,9.381206000513723e-08,43.254817962646484,467,50.0,466,57.894737243652344,133,64.66165161132812,133
1,crp_sampler_only,original_ds_train,0,0.01,224,512,49.70808923244476,44.11135017871857,100.0,True,9.899531469050038e-08,44.111351013183594,467,49.356224060058594,466,57.142860412597656,133,63.15789031982422,133
1,crp_sampler_only,original_ds_train,0,0.1,224,512,50.04169940948486,43.89721751213074,96.42857313156128,True,6.864904514639059e-08,43.897216796875,467,51.072959899902344,466,55.63909912109375,133,62.40601348876953,133
1,crp_sampler_only,balanced_14_per_group,101,0.0001,56,512,46.78899049758911,33.47639441490173,100.0,True,6.346280054244589e-08,49.67879867553711,467,33.47639465332031,466,53.38345718383789,133,76.69172668457031,133
1,crp_sampler_only,balanced_14_per_group,101,0.001,56,512,46.37197554111481,33.26180279254913,100.0,True,9.344251706198904e-08,49.25053405761719,467,33.261802673339844,466,53.38345718383789,133,75.18797302246094,133
1,crp_sampler_only,balanced_14_per_group,101,0.01,56,512,46.45538032054901,33.26180279254913,100.0,True,4.34645985534761e-08,49.25053405761719,467,33.261802673339844,466,52.6315803527832,133,76.69172668457031,133
1,crp_sampler_only,balanced_14_per_group,101,0.1,56,512,46.95579707622528,33.47639441490173,100.0,True,8.922927684576476e-08,50.321197509765625,467,33.47639465332031,466,54.13534164428711,133,75.18797302246094,133
1,crp_sampler_only,balanced_14_per_group,102,0.0001,56,512,49.9582976102829,44.11135017871857,100.0,True,7.251591074589219e-08,44.111351013183594,467,54.29184341430664,466,51.87969970703125,133,53.38345718383789,133
1,crp_sampler_only,balanced_14_per_group,102,0.001,56,512,49.79149401187897,43.89721751213074,100.0,True,3.636744245625391e-08,43.897216796875,467,53.648067474365234,466,52.6315803527832,133,54.13534164428711,133
1,crp_sampler_only,balanced_14_per_group,102,0.01,56,512,49.207672476768494,44.11135017871857,100.0,True,9.595754737242584e-08,44.111351013183594,467,52.575103759765625,466,51.12782287597656,133,53.38345718383789,133
1,crp_sampler_only,balanced_14_per_group,102,0.1,56,512,49.2910772562027,44.11135017871857,100.0,True,4.380350535765354e-08,44.111351013183594,467,52.78969955444336,466,51.12782287597656,133,53.38345718383789,133
1,crp_sampler_only,balanced_14_per_group,103,0.0001,56,512,53.46121788024902,42.274677753448486,100.0,True,6.002064862803237e-08,63.59742736816406,467,42.27467727661133,466,45.1127815246582,133,65.41353607177734,133
1,crp_sampler_only,balanced_14_per_group,103,0.001,56,512,54.128438234329224,43.133047223091125,100.0,True,9.306752802490187e-08,64.23983001708984,467,43.13304901123047,466,45.864662170410156,133,65.41353607177734,133
1,crp_sampler_only,balanced_14_per_group,103,0.01,56,512,54.46205139160156,43.347638845443726,100.0,True,5.4476588708693256e-08,64.8822250366211,467,43.34763717651367,466,45.864662170410156,133,65.41353607177734,133
1,crp_sampler_only,balanced_14_per_group,103,0.1,56,512,53.96163463592529,43.133047223091125,100.0,True,8.035133869312323e-08,64.23983001708984,467,43.13304901123047,466,44.360904693603516,133,65.41353607177734,133
1,crp_sampler_only,balanced_28_per_group,101,0.0001,112,512,48.45704734325409,41.54175519943237,100.0,True,9.16523643171951e-08,41.54175567626953,467,46.3519287109375,466,63.15789031982422,133,65.41353607177734,133
1,crp_sampler_only,balanced_28_per_group,101,0.001,112,512,48.12343716621399,41.32762253284454,100.0,True,8.742621432447525e-08,41.32762145996094,467,46.1373405456543,466,61.65413284301758,133,65.41353607177734,133
1,crp_sampler_only,balanced_28_per_group,101,0.01,112,512,48.62385392189026,41.97002053260803,100.0,True,9.806815886551253e-08,41.97002029418945,467,46.3519287109375,466,62.40601348876953,133,66.16541290283203,133
1,crp_sampler_only,balanced_28_per_group,101,0.1,112,512,49.207672476768494,43.25481653213501,100.0,True,9.238008894570798e-08,43.254817962646484,467,47.21030044555664,466,60.15037155151367,133,66.16541290283203,133
1,crp_sampler_only,balanced_28_per_group,102,0.0001,112,512,53.61968159675599,49.548873603343964,100.0,True,7.688629115627376e-08,53.5331916809082,467,53.43347930908203,466,49.624061584472656,133,58.6466178894043,133
1,crp_sampler_only,balanced_28_per_group,102,0.001,112,512,53.21100950241089,47.36842215061188,100.0,True,8.862518147394888e-08,53.319053649902344,467,53.2188835144043,466,47.36842346191406,133,58.6466178894043,133
1,crp_sampler_only,balanced_28_per_group,102,0.01,112,512,53.37781310081482,47.36842215061188,100.0,True,9.124220786273056e-08,54.17559051513672,467,52.575103759765625,466,47.36842346191406,133,59.398494720458984,133
1,crp_sampler_only,balanced_28_per_group,102,0.1,112,512,52.87739634513855,47.36842215061188,100.0,True,9.404745814241278e-08,52.4625244140625,467,53.004295349121094,466,47.36842346191406,133,59.398494720458984,133
1,crp_sampler_only,balanced_28_per_group,103,0.0001,112,512,53.96163463592529,47.36842215061188,100.0,True,8.835820272000476e-08,54.81798553466797,467,51.28755569458008,466,47.36842346191406,133,66.91729736328125,133
1,crp_sampler_only,balanced_28_per_group,103,0.001,112,512,54.128438234329224,48.87218177318573,100.0,True,8.717790886026582e-08,54.60385513305664,467,51.28755569458008,466,48.8721809387207,133,67.66917419433594,133
1,crp_sampler_only,balanced_28_per_group,103,0.01,112,512,53.79483103752136,48.120301961898804,100.0,True,8.792550569168469e-08,54.17559051513672,467,51.28755569458008,466,48.12030029296875,133,66.91729736328125,133
1,crp_sampler_only,balanced_28_per_group,103,0.1,112,512,53.54462265968323,49.624061584472656,100.0,True,8.101721276189758e-08,53.319053649902344,467,52.14592361450195,466,49.624061584472656,133,63.15789031982422,133
1,raw_clip_kl,original_ds_train,0,0.0001,224,512,52.79399752616882,44.3254828453064,100.0,True,8.841527688179413e-08,44.32548141479492,467,59.22746658325195,466,57.142860412597656,133,55.63909912109375,133
1,raw_clip_kl,original_ds_train,0,0.001,224,512,53.127604722976685,45.396146178245544,100.0,True,8.787733441883977e-08,45.39614486694336,467,59.22746658325195,466,57.142860412597656,133,54.8872184753418,133
1,raw_clip_kl,original_ds_train,0,0.01,224,512,52.79399752616882,45.610278844833374,100.0,True,9.955322268222384e-08,45.61027908325195,467,58.36909866333008,466,57.894737243652344,133,53.38345718383789,133
1,raw_clip_kl,original_ds_train,0,0.1,224,512,52.87739634513855,47.75160551071167,95.53571343421936,True,9.213790681718986e-08,47.75160598754883,467,56.22317886352539,466,56.39097595214844,133,55.63909912109375,133
1,raw_clip_kl,balanced_14_per_group,101,0.0001,56,512,50.87572932243347,45.1127827167511,100.0,True,8.887552596562958e-08,53.5331916809082,467,50.0,466,45.1127815246582,133,50.375938415527344,133
1,raw_clip_kl,balanced_14_per_group,101,0.001,56,512,50.62552094459534,45.1127827167511,100.0,True,8.933507140642758e-08,53.10492706298828,467,49.78540802001953,466,45.1127815246582,133,50.375938415527344,133
1,raw_clip_kl,balanced_14_per_group,101,0.01,56,512,51.125937700271606,46.61654233932495,100.0,True,9.835856052851574e-08,53.5331916809082,467,50.0,466,46.61654281616211,133,51.12782287597656,133
1,raw_clip_kl,balanced_14_per_group,101,0.1,56,512,50.291907787323,44.36090290546417,100.0,True,7.413116249284021e-08,53.10492706298828,467,48.068668365478516,466,44.360904693603516,133,54.13534164428711,133
1,raw_clip_kl,balanced_14_per_group,102,0.0001,56,512,52.126771211624146,44.11135017871857,100.0,True,6.112056264677623e-08,44.111351013183594,467,60.51502227783203,466,52.6315803527832,133,50.375938415527344,133
1,raw_clip_kl,balanced_14_per_group,102,0.001,56,512,51.87656283378601,43.68308484554291,100.0,True,9.985782372767382e-08,43.68308639526367,467,60.3004264831543,466,52.6315803527832,133,50.375938415527344,133
1,raw_clip_kl,balanced_14_per_group,102,0.01,56,512,51.87656283378601,44.11135017871857,100.0,True,9.735083951077292e-08,44.111351013183594,467,59.871246337890625,466,53.38345718383789,133,49.624061584472656,133
1,raw_clip_kl,balanced_14_per_group,102,0.1,56,512,51.54294967651367,43.25481653213501,100.0,True,7.7813112979528e-08,43.254817962646484,467,59.44206237792969,466,54.8872184753418,133,49.624061584472656,133
1,raw_clip_kl,balanced_14_per_group,103,0.0001,56,512,53.953294157981865,43.133047223091125,100.0,True,9.44731697173633e-08,62.52676773071289,467,43.13304901123047,466,47.36842346191406,133,68.42105102539062,133
1,raw_clip_kl,balanced_14_per_group,103,0.001,56,512,54.128438234329224,43.347638845443726,100.0,True,9.772623219025229e-08,62.74089813232422,467,43.34763717651367,466,47.36842346191406,133,68.42105102539062,133
1,raw_clip_kl,balanced_14_per_group,103,0.01,56,512,54.29524779319763,43.776825070381165,100.0,True,9.761118117761723e-08,62.74089813232422,467,43.776824951171875,466,46.61654281616211,133,69.17292785644531,133
1,raw_clip_kl,balanced_14_per_group,103,0.1,56,512,54.46205139160156,44.849786162376404,100.0,True,7.469305596512904e-08,62.09850311279297,467,44.84978485107422,466,45.864662170410156,133,69.92481231689453,133
1,raw_clip_kl,balanced_28_per_group,101,0.0001,112,512,51.29274129867554,45.610278844833374,100.0,True,7.972470382684539e-08,45.61027908325195,467,54.29184341430664,466,52.6315803527832,133,59.398494720458984,133
1,raw_clip_kl,balanced_28_per_group,101,0.001,112,512,51.20934247970581,45.610278844833374,100.0,True,9.205401046525759e-08,45.61027908325195,467,54.29184341430664,466,51.87969970703125,133,59.398494720458984,133
1,raw_clip_kl,balanced_28_per_group,101,0.01,112,512,51.70975923538208,47.53747284412384,100.0,True,8.68374090386495e-08,47.537471771240234,467,55.15021514892578,466,48.8721809387207,133,57.142860412597656,133
1,raw_clip_kl,balanced_28_per_group,101,0.1,112,512,53.71142625808716,49.46466684341431,100.0,True,9.239177276021415e-08,49.46466827392578,467,57.296138763427734,466,49.624061584472656,133,60.15037155151367,133
1,raw_clip_kl,balanced_28_per_group,102,0.0001,112,512,55.12927174568176,47.9657381772995,100.0,True,9.375269761407993e-08,47.965736389160156,467,62.44635009765625,466,51.12782287597656,133,58.6466178894043,133
1,raw_clip_kl,balanced_28_per_group,102,0.001,112,512,54.7122597694397,47.75160551071167,100.0,True,8.773846889215039e-08,47.75160598754883,467,62.01716613769531,466,50.375938415527344,133,57.894737243652344,133
1,raw_clip_kl,balanced_28_per_group,102,0.01,112,512,54.54545617103577,47.75160551071167,100.0,True,9.649509756775448e-08,47.75160598754883,467,61.373390197753906,466,51.12782287597656,133,57.894737243652344,133
1,raw_clip_kl,balanced_28_per_group,102,0.1,112,512,52.71059274673462,46.03854417800903,100.0,True,6.370420090918982e-08,46.038543701171875,467,60.3004264831543,466,48.12030029296875,133,54.13534164428711,133
1,raw_clip_kl,balanced_28_per_group,103,0.0001,112,512,58.13177824020386,47.36842215061188,100.0,True,7.658222433448668e-08,59.10063934326172,467,60.51502227783203,466,47.36842346191406,133,57.142860412597656,133
1,raw_clip_kl,balanced_28_per_group,103,0.001,112,512,57.714760303497314,48.120301961898804,100.0,True,9.348095224502755e-08,58.02997970581055,467,60.51502227783203,466,48.12030029296875,133,56.39097595214844,133
1,raw_clip_kl,balanced_28_per_group,103,0.01,112,512,57.29774832725525,48.87218177318573,100.0,True,8.855376695251702e-08,57.1734504699707,467,60.085838317871094,466,48.8721809387207,133,56.39097595214844,133
