seed,arm,ssl_epoch,group_name,group_id,group_count,group_accuracy
1,splice_crp_kl,500,"(target,context)=(0,0)",0,467,51.6059935092926
1,splice_crp_kl,500,"(target,context)=(0,1)",1,466,56.223177909851074
1,splice_crp_kl,500,"(target,context)=(1,0)",2,133,58.64661931991577
1,splice_crp_kl,500,"(target,context)=(1,1)",3,133,66.16541147232056
1,raw_clip_kl,500,"(target,context)=(0,0)",0,467,44.3254828453064
1,raw_clip_kl,500,"(target,context)=(0,1)",1,466,54.506438970565796
1,raw_clip_kl,500,"(target,context)=(1,0)",2,133,54.8872172832489
1,raw_clip_kl,500,"(target,context)=(1,1)",3,133,52.63158082962036
2,splice_crp_kl,500,"(target,context)=(0,0)",0,467,53.31905484199524
2,splice_crp_kl,500,"(target,context)=(0,1)",1,466,50.0
2,splice_crp_kl,500,"(target,context)=(1,0)",2,133,52.63158082962036
2,splice_crp_kl,500,"(target,context)=(1,1)",3,133,65.41353464126587
2,raw_clip_kl,500,"(target,context)=(0,0)",0,467,47.10920751094818
2,raw_clip_kl,500,"(target,context)=(0,1)",1,466,46.56652212142944
2,raw_clip_kl,500,"(target,context)=(1,0)",2,133,53.38345766067505
2,raw_clip_kl,500,"(target,context)=(1,1)",3,133,63.90977501869202
